This is the mens odds. Find your number of tickets to find the odds. 
 The columns are your tickets (points), the odds of a man with that number of tickets getting in, the number of men with that exact tickets/point-score to apply, and the expected number of men with those tickets to get in. 
 
      tickets_per_applicant odds_of_selection applicants
 [1,]                2.0000            0.1385        183
 [2,]                2.5439            0.1728          1
 [3,]                2.6369            0.1785          1
 [4,]                2.8109            0.1891          1
 [5,]                2.8284            0.1902         12
 [6,]                3.3863            0.2232          6
 [7,]                3.6219            0.2368          2
 [8,]                3.7819            0.2459          1
 [9,]                3.8326            0.2487          2
[10,]                4.0000            0.2581         42
[11,]                4.1972            0.2690          3
[12,]                4.3573            0.2777          1
[13,]                4.5055            0.2856          2
[14,]                4.7726            0.2998          2
[15,]                4.8938            0.3061          1
[16,]                5.0257            0.3129          1
[17,]                5.2189            0.3228          2
[18,]                5.3165            0.3277          1
[19,]                5.3863            0.3312          1
[20,]                5.6219            0.3429          1
[21,]                5.6569            0.3447          5
[22,]                5.8326            0.3532          1
[23,]                6.1972            0.3707          3
[24,]                6.3944            0.3799          1
[25,]                6.5545            0.3873          1
[26,]                6.6101            0.3899          1
[27,]                6.7958            0.3983          1
[28,]                7.0082            0.4078          1
[29,]                7.3825            0.4243          1
[30,]                7.8918            0.4459          1
[31,]                8.0000            0.4504          7
[32,]                8.4294            0.4678          1
[33,]                9.2404            0.4993          1
[34,]                9.8467            0.5217          1
[35,]               10.1972            0.5342          1
[36,]               10.6267            0.5490          1
[37,]               10.7346            0.5527          1
[38,]               10.7726            0.5539          1
[39,]               11.3137            0.5718          2
[40,]               11.5835            0.5804          1
[41,]               12.2801            0.6019          1
[42,]               17.5847            0.7338          1
      num_people_taken
 [1,]          25.3460
 [2,]           0.1728
 [3,]           0.1785
 [4,]           0.1891
 [5,]           2.2821
 [6,]           1.3395
 [7,]           0.4736
 [8,]           0.2459
 [9,]           0.4975
[10,]          10.8399
[11,]           0.8069
[12,]           0.2777
[13,]           0.5713
[14,]           0.5996
[15,]           0.3061
[16,]           0.3129
[17,]           0.6456
[18,]           0.3277
[19,]           0.3312
[20,]           0.3429
[21,]           1.7233
[22,]           0.3532
[23,]           1.1121
[24,]           0.3799
[25,]           0.3873
[26,]           0.3899
[27,]           0.3983
[28,]           0.4078
[29,]           0.4243
[30,]           0.4459
[31,]           3.1526
[32,]           0.4678
[33,]           0.4993
[34,]           0.5217
[35,]           0.5342
[36,]           0.5490
[37,]           0.5527
[38,]           0.5539
[39,]           1.1436
[40,]           0.5804
[41,]           0.6019
[42,]           0.7338

 This is the womens odds. Find your number of tickets to find the odds. 
 The columns are your tickets (points), the odds of a woman with that number of tickets getting in, the number of women with that exact tickets/point-score to apply, and the expected number of women with those tickets to get in. 
 
      tickets_per_applicant odds_of_selection applicants
 [1,]                2.0000            0.5197         76
 [2,]                2.8109            0.6442          1
 [3,]                2.8284            0.6465          4
 [4,]                3.3863            0.7127          4
 [5,]                4.0000            0.7714          4
 [6,]                4.1972            0.7877          1
 [7,]                4.5055            0.8108          1
 [8,]                4.7726            0.8289          1
 [9,]                5.0257            0.8444          1
[10,]                5.5835            0.8739          1
[11,]                5.8918            0.8878          1
[12,]                6.6052            0.9144          1
[13,]                6.9698            0.9255          2
[14,]                7.0111            0.9266          1
[15,]                7.0431            0.9275          1
[16,]                7.6652            0.9429          1
[17,]                7.7244            0.9441          1
[18,]                7.7807            0.9453          1
[19,]                8.1589            0.9527          1
[20,]                9.3863            0.9705          1
[21,]                9.8157            0.9751          1
[22,]                9.9915            0.9767          1
[23,]               10.0513            0.9772          1
      num_people_taken
 [1,]          39.4959
 [2,]           0.6442
 [3,]           2.5859
 [4,]           2.8506
 [5,]           3.0858
 [6,]           0.7877
 [7,]           0.8108
 [8,]           0.8289
 [9,]           0.8444
[10,]           0.8739
[11,]           0.8878
[12,]           0.9144
[13,]           1.8510
[14,]           0.9266
[15,]           0.9275
[16,]           0.9429
[17,]           0.9441
[18,]           0.9453
[19,]           0.9527
[20,]           0.9705
[21,]           0.9751
[22,]           0.9767
[23,]           0.9772
